Name,state,City,Address,Stars,Valoracion
Tio Flores,Pensilvania,Philadelphia,1600 South St,2,Malo
Jimmy Hula's,Florida,Clearwater,454 Mandalay Ave,3,Muy bueno
Taco Bell,Missouri,Saint Louis,3501 S Grand Ave,1,Malo
Chuy's,Tennessee,Nashville,163B Opry Mills Dr,2,Malo
GUAC Tequila & Tacos,Florida,Tampa,"4110 Henderson Blvd, Ste B",2,Muy bueno
Corazon Cocina,California,Santa Barbara,"38 W Victoria, Unit 122",5,Muy bueno
Zeppelin,Nevada,Reno,1445 S Meadows Pkwy,3,Muy bueno
Nada,Indiana,Indianapolis,11 W Maryland St,5,Muy bueno
Pueblo Lindo,Idaho,Meridian,"3327 N Eagle Rd, Ste 170",5,Muy bueno
Que Pasa Mexican Cantina,Florida,St. Petersburg,10478 Roosevelt Blvd N,1,Malo
Buena Onda,Pensilvania,Philadelphia,1901 Callowhill St,1,Muy bueno
Loco Mexican Restaurant & Cantina,Indiana,Indianapolis,1417 Prospect St,5,Muy bueno
Taqueria Don Quezadillas Belinda,Indiana,Indianapolis,1920 E 38th St,5,Muy bueno
El Taco Tote,Arizona,Tucson,1340 N Wilmot Rd,2,Malo
Agave House,Luisiana,New Orleans,2549 Banks St,2,Muy bueno
Super Burrito,Nevada,Reno,500 E Plumb Ln,5,Muy bueno
Bartaco,Tennessee,Nashville,2526 12th Ave S,5,Muy bueno
Bakersfield,Indiana,Indianapolis,334 Massachusetts Ave,2,Muy bueno
Skyline Chili,Indiana,Indianapolis,6689 East 82nd Street,4,Muy bueno
Tacos And Beer,Luisiana,New Orleans,1622 Saint Charles Ave,5,Muy bueno
Moe's Southwest Grill,Nueva Jersey,Deptford,1692 Clements Bridge Rd,1,Malo
Chuy's,Tennessee,Nashville,163B Opry Mills Dr,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,Lansdale,1650 Sumneytown Pike,5,Muy bueno
Diana's Bakery,Missouri,Saint Louis,2843 Cherokee St,5,Muy bueno
Chile Burrito,Tennessee,Brentwood,330 Franklin Rd,3,Malo
Chili's,Tennessee,Franklin,7083 Bakers Bridge Ave,4,Muy bueno
Zim Zari,Florida,Trinity,3230 Little Rd,5,Muy bueno
Oaxaca Fresh,California,Carpinteria,721 Linden Ave,5,Muy bueno
Saint Anejo,Tennessee,Nashville,1120 Mcgavock St,5,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,Tampa,"2223 N Westshore Blvd, International Plaza",4,Muy bueno
Uncle Julio's,Tennessee,Brentwood,209 Franklin Rd,1,Malo
Lolis Mexican Cravings,Florida,Tampa,10011 W Hillsborough Ave,5,Muy bueno
QDOBA Mexican Eats,Indiana,Brownsburg,890 N Green St,2,Malo
Bartaco,Tennessee,Nashville,2526 12th Ave S,5,Muy bueno
Super Burrito,Nevada,Reno,500 E Plumb Ln,2,Muy bueno
Lolis Mexican Cravings,Florida,Tampa,10011 W Hillsborough Ave,5,Muy bueno
Chili's,Tennessee,Nashville,7624 Hwy 70 S,1,Muy bueno
La Fiesta Mexican Resturant,Missouri,Mehlville,7439 S Lindbergh Blvd,1,Malo
Puerto Vallarta Mexican Restaurant & Cantina,Indiana,Indianapolis,5510 Lafayette Rd,4,Muy bueno
El Charro Cafe,Arizona,Oro Valley,7725 N Oracle Rd,2,Muy bueno
Currito,Pensilvania,Philadelphia,"8500 Essington Ave, Philadelphia International Airport, Terminal A",1,Muy bueno
Tequila's,Tennessee,Nashville,"3736 Annex Ave, Ste 107",5,Muy bueno
El Torito,Missouri,Saint Louis,2753 Cherokee St,5,Muy bueno
El Cisne Restaurant,Arizona,Tucson,4717 E Sunrise Dr,5,Muy bueno
Nada,Tennessee,Nashville,202 21st Ave S,4,Muy bueno
The Tequila House,Luisiana,New Orleans,419 Bourbon St,1,Malo
Rey Azteca,Pensilvania,Warminster,80 York Rd,3,Malo
Hopsmith Tavern,Tennessee,Nashville,1903 Division St,2,Muy bueno
Chipotle Mexican Grill,Tennessee,Nashville,400 21st Ave S,5,Muy bueno
Distrito,Pensilvania,Philadelphia,3945 Chestnut St,5,Muy bueno
Deanie's Sea Food Kitchen,Luisiana,New Orleans,2200 Magazine St,2,Malo
Bakersfield,Indiana,Indianapolis,334 Massachusetts Ave,1,Muy bueno
Spotted Donkey Cantina,Florida,Clearwater,400B Mandalay Ave,1,Malo
Uncle Julio's,Tennessee,Brentwood,209 Franklin Rd,3,Muy bueno
Tequila Sunrise,Indiana,Brownsburg,1551 N Green St,5,Muy bueno
The Rum House,Luisiana,New Orleans,3128 Magazine St,5,Muy bueno
Anita Street Market,Arizona,Tucson,849 Anita Ave,5,Muy bueno
Amigos Tortilla Bar,Florida,St Petersburg,681 Central Ave,5,Muy bueno
Taco Bell,Idaho,Garden City,8109 Chinden Blvd,1,Muy bueno
Taco Bell,Arizona,Tucson,8084 North Cortaro Road,5,Muy bueno
Taco Bell,Nevada,Reno,1110 N Hills Blvd,1,Muy bueno
"BLT's - Breakfast, Lunch and Tacos",Missouri,St. Louis,626 N 6th St,1,Malo
Zeppelin,Nevada,Reno,1445 S Meadows Pkwy,3,Muy bueno
Bongos 88 Food Fun and Spirits,Luisiana,Kenner,"1401 W Esplanade Ave, Ste 718",2,Malo
Three Brothers Grill,Pensilvania,Collegeville,611 Gravel Pike,5,Muy bueno
Tumerico,Arizona,Tucson,2526 E 6th St,5,Muy bueno
Taqueria Feliz,Pensilvania,Philadelphia,4410 Main St,5,Muy bueno
Chipotle Mexican Grill,Illinois,Fairview Heights,6415 N Illinois St,1,Malo
Illegal Pete's - Tucson,Arizona,Tucson,876 E University Blvd,1,Muy bueno
Taqueria Aguilar Food Truck,Tennessee,Nashville,230 Thompson Ln,4,Muy bueno
Taco Bell,Nevada,Reno,1075 W 4th St,4,Muy bueno
OINK and MOO BBQ,Nueva Jersey,Voorhees Township,"910 Haddonfield-Berlin Rd, Ste 3",5,Muy bueno
Besito Mexican Restaurant,Pensilvania,Ardmore,105 Coulter Ave,5,Muy bueno
Tumerico,Arizona,Tucson,2526 E 6th St,3,Malo
El Cisne Restaurant,Arizona,Tucson,4717 E Sunrise Dr,5,Muy bueno
Taco Bell,Idaho,Garden City,8109 Chinden Blvd,1,Muy bueno
Rollies Mexican Patio,Arizona,Tucson,4573 S 12th Ave,5,Muy bueno
Cuñada,Luisiana,New Orleans,833 Conti St,5,Muy bueno
Tempo Nashville,Tennessee,Nashville,2179 Nolensville Pike,5,Muy bueno
Teresa's Mosaic Cafe,Arizona,Tucson,2455 N Silverbell Rd,3,Muy bueno
El Rey,Pensilvania,Philadelphia,2013 Chestnut St,4,Muy bueno
Lucha Cartel,Pensilvania,Philadelphia,207 Chestnut St,1,Muy bueno
Nemi Restaurant,Pensilvania,Philadelphia,2636 E Ann St,5,Muy bueno
Jack in the Box,Tennessee,Hermitage,5656 Old Hickory Blvd,1,Malo
Viva Burrito,Arizona,Tucson,6320 E Golf Links Rd,1,Muy bueno
Bakersfield,Tennessee,Nashville,201 3rd Ave S,5,Muy bueno
PJ's Pancake House & Tavern - Ewing,Nueva Jersey,Ewing,938 Bear Tavern Rd,2,Muy bueno
Taco Bell,Missouri,Saint Louis,7237 Watson Road,1,Malo
Agave House,Luisiana,New Orleans,2549 Banks St,5,Muy bueno
El Primo Plaza,Pensilvania,Bensalem,2846 Street Rd,5,Muy bueno
"Poco's Mexican-American Restaurant, Bar & Comedy Cabaret",Pensilvania,Doylestown,625 N Main St,1,Malo
Guadalajara Original Grill,Arizona,Tucson,7360 N Oracle Rd,3,Muy bueno
Cinco De Mayo Mexican Restaurant - Whitebridge,Tennessee,Nashville,358 White Bridge Pike,5,Muy bueno
Salsa Verde Restaurant,Arizona,Tucson,210 N Pantano Rd,5,Muy bueno
La Roca,Pensilvania,Philadelphia,4161 Main St,5,Muy bueno
Cancun Mexican Restaurant,Indiana,Indianapolis,1268 W 86th St,3,Muy bueno
Chipotle Mexican Grill,Florida,Brandon,"459 Brandon Town Center Mall, Ste Fc",5,Muy bueno
El Rey,Pensilvania,Philadelphia,2013 Chestnut St,1,Muy bueno
Spotted Donkey Cantina,Florida,Clearwater,400B Mandalay Ave,5,Muy bueno
Santa Fe,Luisiana,New Orleans,3201 Esplanade,5,Muy bueno
Rubio's Coastal Grill,Florida,St. Petersburg,1330 4th St N,5,Muy bueno
Los Agaves,California,Santa Barbara,600 N Milpas St,5,Muy bueno
Oscar’s Taco Shop,Tennessee,Nolensville,7177 Nolensville Rd,1,Muy bueno
Rubio's Coastal Grill,Florida,St. Petersburg,1330 4th St N,1,Malo
Tijuana Flats,Florida,Tampa,1617 W Platt St,5,Muy bueno
Border Cafe,Delaware,Newark,483 Stanton Christiana Rd,4,Muy bueno
Rosepepper Mexican Grill,Tennessee,Nashville,1907 Eastland Ave,2,Malo
Tlaolli,Indiana,Indianapolis,2830 E Washington St,5,Muy bueno
Taqueria La Flama,Idaho,Boise,1680 N Westland Dr,4,Muy bueno
Centro Cantina,Florida,Tampa,1600 E 8th Ave,1,Malo
Aqui Con el Nene,Arizona,Tucson,65 W Valencia Rd,5,Muy bueno
Capital Tacos,Florida,Wesley Chapel,"27209 State Rd 56, Fl 56",3,Malo
Central Taco & Tequila,Nueva Jersey,Haddon Township,350 Haddon Ave,3,Muy bueno
Señor Tequila Mexican Grill,Florida,Tampa,12950 Race Track Rd,1,Malo
Nixta,Missouri,St Louis,1621 Tower Grove Ave,5,Muy bueno
Red Mesa Restaurant,Florida,St Petersburg,4912 4th St N,5,Muy bueno
Senor Fresh Mexican Eatery,Idaho,Boise,"12375 W Chinden Blvd, Ste F",1,Muy bueno
Crossroads Restaurant,Arizona,Tucson,2602 S 4th Ave,1,Muy bueno
Pasteleria Rojas,Delaware,Wilmington,2110 Kirkwood Hwy,3,Muy bueno
Southwest Diner,Missouri,Saint Louis,6803 Southwest Ave,5,Muy bueno
Amigos Tortilla Bar,Florida,St Petersburg,681 Central Ave,4,Muy bueno
