Business_id,Name,Categories,Stars,Text,Useful,Funny,Cool,Date,User_id,City,State,Latitude,Longitude,Address,Sentimiento
9V0LMtO1riRw9-pUuG4NFg,Delicia,"Latin American, Caribbean, Breakfast & Brunch, Restaurants, Mexican",5.0,"I went to Delicia for dinner with some of my friends last night. None of their entrees are vegetarian, but they are willing to modify most of them to make them vegetarian which is a plus. We also got the guacamole, spicy salsa, and salad from the appetizer menu and we're happy with all of our choices. Service was also good!",1,0,0,2020-02-14,oZgxVYzL_Y8q4SPDa81iqg,Indianapolis,FL,39.847406,-86.1451809,5215 N College Ave,Positivo
yYuRiXwKTRP46dsyMVstKA,Organico Pizza,"Tacos, Salad, Gluten-Free, Burgers, Mexican, Pizza, Restaurants, Sandwiches, Italian, Caterers, Event Planning & Services, Cheesesteaks",5.0,They make a great baguette.  If they make their pizza dough the same way they make their baguette I would their Pizza is phenomenal.  The meat had good flavor but it also had a decent amount of gristle.  Very good amount of cheese and great cheese melt.  My concern is that the meat was overpowered by the phenomenal baguette and great cheese melt.  The people are as nice as could be. I did not love the $12.  It did come with hand-cut french fries that were tasty.  Good overall experience.,0,0,1,2020-01-14,vmUqcqMjlWoBM6qfmUXgyQ,Marlton,LA,39.8926492779,-74.9216213264,21 N Maple Ave,Positivo
gK9CdFaCXmHoW8aLfXiSqg,Tired Hands Fermentaria,"Restaurants, Food, Beer, Wine & Spirits, Breweries, Mexican",5.0,"It is quite actually my favorite restaurant in the world; I live in NY and I travel to Admore, PA regularly just to get Fermentaria.  The beer is the best I've ever had, and the food is always a deliciously creative twist on a classic dish.  Despite constantly changing both the beer and food menus, Tired Hands Fermentaria hits the mark Every. Single. Time.  
Overall: 4.97 / Food: 4.8 / Drink: 5.0 / Service: 4.2 / Space: 5.0 / Value: 4.5

Normally I write reviews about the individual dishes I get, but you literally cannot go wrong here.  Instead, I will recommend everything to you and allow you to choose what you're in the mood for.  

Beer: The beer menu changes weekly. So if you haven't visited in a while, it's time to go back. The Tired Hands brewery concocts the most flavorful, palatable, and creative beers I have ever come across.  Anytime they have a MILKSHAKE IPA available on the menu -- make sure you order it.  I do recommend getting 4oz. glasses of several different beers because you should never leave Fermentaria without trying at least 2 beers (and you can always double down with an 8oz of your favorite).  Their menu gives in-depth explanations of the type of beer, the ingredients, and notes that you should be able to taste.  The flavors are usually just as weird as the names (I've seen  ""hint of gummy bears"" as a note and ""We Are All Infinite Energy Vibrating at the Same Frequency"" as a name), but there will be several beers you want to try at any given time.  

Food: While the beer is a show-stopper, you should still want to come to Fermentaria just for the food too.  The BURGER and the TACOS are staples, and are delicious (friendly hint to order chipotle mayo with fries).  The burger/fries, in particular, always finds a way to complement the beer perfectly.  But I've had their rotating specials of FRIED CHICKEN with applebutter, pumpkin waffle, and BBQ BRISKET  -- and everything is always next level phenomenal.  I do miss the fried chicken with applebutter as a staple menu item though.  

The space is amazing, as you sit in spacious, hipster-chic brewery, surrounded by brewing tanks of beer.  For all of its glory, it is relatively cheap -- though a lot of 4oz glasses of beer can add up.

My biases: I'm a mid-20s male from NYC with a mean sweet tooth, a love of large portions, and an appreciation for high-quality food experiences - but only at a value.  Food taste is always the priority.",4,2,2,2020-02-13,eg2Kf_5G8NJiJsIPHdlCWw,Ardmore,MO,40.0066759391,-75.2903721129,35 Cricket Ter,Positivo
P_x9fEz8efemqOIV46S0tg,Red Mesa Restaurant,"Bars, Cuban, Wine Bars, Nightlife, Tex-Mex, Restaurants, Latin American, Mexican",5.0,"My favorite Mexican restaurant in St Pete.
I was a manager years ago at a made from scratch fresh Mexican restaurant. 
This Red Mesa at the Original location on 4th St. Reminds me of that  with the Amazing fresh Mexican flavors they serve. 
Great selection,  tasty Table Salsa and don't forget to try  the Sangria & Margaritas.",2,0,2,2020-03-08,kYwL-j-UgtsY0EXPQgqwag,St Petersburg,MO,27.8168717,-82.6389697,4912 4th St N,Positivo
-zsvmEbkd-K9K2DAAKqiEQ,Salty's Island Bar & Grille,"Mexican, American (New), Seafood, Bars, Sandwiches, Restaurants, Nightlife",4.0,"In town for work and since Seaguini had a long wait, we decided to change pace and opted for A relaxed atmosphere at Salty's for a nice seafood grub on the island here in Clearwater beach. The waitstaff accommodated us right away and we tried several dishes: 

Crabby dip- rich and cheesy - supposed to have crab and spinach but I couldn't taste crab...don't get me wrong, the dip is still very tasty and is made for sharing, just don't really count as a crab dip if you don't see any crab in it IMO

Steamed red gulf shrimps -- perfectly steamed-- still nice and juicy, shell-on, I despise overcooked, rubbery shrimp and this ain't it. The broth is light and just simply letting the shrimp shine- must try

Bairdi Snow crab (~$40 Today's MKT for 1.5lbs) (""locally sourced"") - sweet meat, not overcooked. 

Other guests also ordered grilled and blackened grouper which they seem to enjoy

Killer Key Lime pie-- smooth, custard like texture- on the tart side which I enjoy, the crust is rich and buttery--Ann Arbor's Zingermann's is hands down a better pie but this place apparently won best key lime pie 3 yrs in a row here so you must pay respect and get the pie! 

Sweet, awesome waitstaff 

Bottom line- good atmosphere, food is fresh, decent price point, good key lime pie, perfect for hanging out and pig out on shrimp and crab",2,0,1,2020-03-08,WVry7pLsR7zy-gaOdqzeDw,Clearwater Beach,PA,27.969764,-82.829336,437 S Gulfview Blvd,Positivo
yeHLiKNp0hyR-ig4M6us-w,Livery - Indianapolis,"Food, American (New), Nightlife, Bars, Empanadas, Latin American, Restaurants, Mexican, Tacos",4.0,"I really enjoyed my dinner here! I've never experienced latin american food so it was a good, new genre of food to try! The drinks are hella strong, but delicious and the cauliflower is AMAZING !!",0,0,0,2020-08-07,hbSNHJ3_ri_FAbi5dMf_HQ,Indianapolis,TN,39.7766812,-86.1456632,720 N College Ave,Positivo
2JvQsqJ5-bJGf_jVQKakDQ,Gringo Tacos + Burgers,"Mexican, Food, Burgers, Restaurants, Tacos, Nightlife, Bars",4.0,"Came in for a carry out order while staying at a hotel nearby.  

Most Favorite to Least Favorite: 
1. Carne Asada (Al Carbon) -- super simple with just the arugula and pickled onions, but super delicious!  
2. Carnitas -- classic pork flavor
3. Brisket -- Was a bit too salty for me, which overpowered the taco

Take out was nicely wrapped and labeled.  I also liked the flour tortilla options (yes, I know my taste in tacos is very, well, gringo (gringa?)...)",1,0,1,2020-01-18,tClCuqYjoPk_Q9U_u2owoA,St. Louis,PA,38.6305572048,-90.1901568674,635 Washington Ave,Positivo
sGLDJ4V4ezZZemFHCa0z_g,Cantina Los Tres Hombres,"Restaurants, Mexican, Seafood, Bars, Nightlife",4.0,"Great atmosphere.  Nice servers and service.  The food was fairly bland.  We started with the poppers and salad, both were fine. I had two crispy tacos, my husband had the hombre burrito.  The main dishes were ok, but nothing special.  The server didn't seem familiar with the menu, she had not tried much from if, at least not the items we'd asked about...maybe she was new?  

And...for me...the mark of great Mexican is good chips and salsa...these ones were again, just ok.  

Huge sodas though!  Nice not to have to ask for refills!   But the food, it just lacked depth of flavor.  Not bad, just not great.  Can't put my finger on what the deal was but I just ended up dipping things in ranch dressing to help give it some life, LOL!",0,0,0,2020-01-05,xpr1RvXJhbvJdDqoJ1k2tg,Sparks,LA,39.5310198,-119.7227454,"1180 Scheels Dr, Ste B 111",Positivo
Vv5Fxre786NpKFR_3OduKw,Chimi's Fresh-Mex,"Mexican, Restaurants, Food, Tex-Mex",5.0,"Excellent prompt seating and service with complimentary warm chips and salsa. I ordered the steak fajitas with two pork tamales. Pro tip: If you want to know how good a place like Chimi's is, always order tamales. These are homemade in the restaurant, well seasoned but it is melt in your mouth good with the corn notes coming through. Steak was good and the fixings were fresh. Refried beans were tasty.",0,0,0,2020-02-25,1K_sdEWkaxrVKL8cx4oi1Q,Saint Louis,LA,38.7024236,-90.3622203,2435 Woodson Rd,Positivo
ZYlDRSuhC-97FyqsPg1KCA,Pacos Tacos Metairie,"Restaurants, Mexican, Tacos",5.0,The best tacos I've ever had!!! Excellent customer service as well. I ordered to go by phone order and my food was ready in less than 10 minutes. I had one of each taco and a quesadilla. The meat was seasoned flavorful and not greasy. I'd eat this every day if I could. Would have pics but it smelled so good I ate it in the parking lot before I pulled off. I tacos I ordered were the taco sampler all 5 meats on corn tortilla with cilantro and onion,2,1,2,2020-03-14,v4WsK6DqrrgY9r-pKlky7Q,Metairie,TN,30.004915,-90.188874,4726 Veterans Memorial Blvd,Positivo
